"Timestamp","Target","Status","Message"
"2026-02-24 23:36:30","192.168.0.76","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:36:33","192.168.0.77","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:36:36","192.168.0.78","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:36:39","192.168.0.79","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:36:42","192.168.0.80","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:37:45","192.168.0.81","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:37:49","192.168.0.82","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:37:53","192.168.0.83","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:37:56","192.168.0.84","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:37:59","192.168.0.85","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:02","192.168.0.86","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:05","192.168.0.87","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:08","192.168.0.88","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:11","192.168.0.89","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:14","192.168.0.90","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:17","192.168.0.91","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:20","192.168.0.92","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:23","192.168.0.93","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:26","192.168.0.94","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:29","192.168.0.95","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:32","192.168.0.96","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:36","192.168.0.97","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:39","192.168.0.98","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:42","192.168.0.99","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:45","192.168.0.100","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:48","192.168.0.101","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:51","192.168.0.102","WARNING","Skipped (Offline/Unreachable)"
